SCHOOLID,Lat,Long,policy_implementation
609779,42.0101225916,-87.6844396323,NA
609782,41.945062,-87.681041,NA
609783,41.867832,-87.680418,NA
609786,41.7482465103,-87.5916904502,NA
609788,41.705131,-87.658074,NA
609789,41.9325105835,-87.7393883513,NA
609792,41.9582198394,-87.7021509622,NA
609794,41.9711409287,-87.7097007454,NA
609795,41.8678117615,-87.7704542243,NA
609796,41.9723932569,-87.7576018013,NA
609797,41.885321,-87.705855,NA
609798,41.958938,-87.73402,NA
609799,41.949529799,-87.6860182445,NA
609800,41.7104344977,-87.6174270739,NA
609803,41.9507530831,-87.6649670804,NA
609804,42.0034116077,-87.697462822,NA
609807,41.7534297568,-87.7087305665,NA
609809,41.9309654091,-87.6963309362,NA
609810,41.949114,-87.798669,NA
609811,41.699726,-87.562084,NA
609812,41.8829967847,-87.6706823911,NA
609813,41.7716197534,-87.6217826166,NA
609815,41.760847,-87.576075,NA
609817,41.975754,-87.696556,NA
609818,41.917597481,-87.7827363017,NA
609820,41.9379100361,-87.669852523,NA
609826,41.8454498794,-87.7149270141,NA
609827,41.7284532016,-87.6074346419,NA
609828,41.9123579081,-87.6686606038,NA
609829,41.8288679073,-87.6924566292,NA
609830,41.8976625721,-87.7656056579,NA
609832,41.7950303819,-87.7915811453,NA
609833,41.739226,-87.580729,NA
609834,41.843698,-87.717319,NA
609835,41.903792,-87.717927,NA
609836,41.948007,-87.829296,NA
609837,41.7833408827,-87.5907952822,NA
609839,41.7425166266,-87.6960120751,NA
609842,41.793272,-87.6878,NA
609844,41.7898279053,-87.6224527519,NA
609845,41.653702,-87.599516,NA
609849,41.687347,-87.703215,NA
609850,41.9527820754,-87.6509792479,NA
609851,41.866435,-87.695259,NA
609853,41.9179714045,-87.6945855007,NA
609855,41.8016586247,-87.6856070028,NA
609856,41.654558,-87.544614,NA
609857,41.952042,-87.706443,NA
609859,41.992541,-87.69836,NA
609861,41.6929985713,-87.680895958,NA
609862,41.7414125297,-87.5660064096,NA
609863,41.8995652981,-87.6819747753,NA
609864,41.745237,-87.659775,NA
609865,42.0170874952,-87.677725718,NA
609866,41.955553,-87.683765,NA
609867,41.8560037541,-87.6672264762,NA
609870,41.845602,-87.731193,NA
609872,41.8560287232,-87.6579801282,NA
609874,41.9737147776,-87.8410414426,NA
609875,41.9232952788,-87.7054124005,NA
609876,41.8218241808,-87.7002013058,NA
609879,41.7450503159,-87.7173526315,NA
609880,42.0092881523,-87.7045818032,NA
609883,41.76249,-87.623345,NA
609884,41.9425516699,-87.8131315249,NA
609885,41.795645104,-87.6426882415,NA
609887,41.743669,-87.609979,NA
609891,41.8311206291,-87.612274543,NA
609893,41.780954,-87.787604,NA
609895,41.725598329,-87.6301308542,NA
609896,41.9159138019,-87.6744945989,NA
609898,41.7743930171,-87.7079518382,NA
609899,42.004380508,-87.8111681485,NA
609901,41.9994135062,-87.7618598502,NA
609903,41.8055409108,-87.7258928453,NA
609907,41.8757184103,-87.7157916032,NA
609908,41.6894196063,-87.66915867,NA
609909,41.8315545763,-87.6813469883,NA
609910,41.9357845738,-87.7493306251,NA
609912,41.9797896799,-87.7660348844,NA
609917,41.7111830723,-87.6404502626,NA
609918,42.009663088800004,-87.6700221809,NA
609920,41.8507709757,-87.705148774,NA
609921,41.8479234631,-87.6966300866,NA
609922,41.92015,-87.756843,NA
609924,41.7296720886,-87.6555177862,NA
609925,41.8701677176,-87.7021629045,NA
609926,41.9065999903,-87.6355128103,NA
609927,41.738425,-87.668099,NA
609928,41.818003,-87.611784,NA
609929,41.79758,-87.668436,NA
609930,41.9176165144,-87.7168916649,NA
609933,42.021090558,-87.6719389762,NA
609935,41.7068009996,-87.5351753058,NA
609937,41.9763516641,-87.7962351141,NA
609938,41.8370377183,-87.7186957205,NA
609939,41.7253316279,-87.6237560587,NA
609942,41.922831,-87.6929,NA
609944,41.6624809625,-87.5532701146,NA
609945,41.9758165304,-87.6579124924,NA
609947,41.8133037295,-87.6433442353,NA
609949,41.9487635796,-87.7571155986,NA
609950,41.8387905201,-87.7171903202,NA
609951,41.811173,-87.597503,NA
609952,41.8296687017,-87.671529053,NA
609956,41.7754368293,-87.7588023425,NA
609958,41.813007,-87.699364,NA
609959,41.849958,-87.633806,NA
609960,41.7801917321,-87.7765787091,NA
609961,41.743753,-87.551862,NA
609963,41.9451922206,-87.6708645151,NA
609966,41.852719,-87.696243,NA
609967,41.8492149059,-87.6856678431,NA
609972,41.9640287092,-87.723128035,NA
609973,41.8413938042,-87.7343133238,NA
609974,41.942274894,-87.6577456243,NA
609975,41.899171,-87.755813,NA
609976,41.9945134479,-87.6685032706,NA
609977,41.7733652283,-87.5944286527,NA
